,Unnamed: 0,Cand_Name,Cand_Office_St,STATE,Cand_Office_Dist_x,Cand_Office_Dist_y,D,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,seat_transition,FEC ID#,GE WINNER INDICATOR,Combined totals,Combined %
12,12,"SEGALL, JOSHUA STEVEN",AL,,3.0,3.0,,DEM,2010.0,0.456924713,19.5,REP,0.459004959,0.0,0.35445,1.0,0.41,True,35452.0,24.0,,79.34211,8750.0,8750.0,0.0,,,,
13,13,"LAMBERT, PAUL ANTHONY",AL,,6.0,6.0,,REP,2010.0,0.425701714,33.6,REP,1.0,0.0,0.1706,1.0,0.41,False,55559.0,27.0,,78.9,1415671.8,1634114.19,4.0,,,,
14,14,"LANKSTER, FRANK",AL,,7.0,7.0,,DEM,2010.0,0.522854019,17.1,REP,1.0,0.0,0.6580600000000001,1.0,0.41,True,31047.0,65.0,,78.9,1739832.56,1703658.3,4.0,,,,
15,15,"MOKOLO, PATRICIA EVANS",AL,,7.0,7.0,,DEM,2010.0,0.522854019,17.1,REP,1.0,0.0,0.6580600000000001,1.0,0.41,True,31047.0,30.0,,78.9,1739832.56,1703658.3,4.0,,,,
16,16,"PERKINS, JAMES JR",AL,,7.0,7.0,,DEM,2010.0,0.522854019,17.1,REP,1.0,0.0,0.6580600000000001,1.0,0.41,True,31047.0,5.0,,78.9,1739832.56,1703658.3,4.0,,,,
17,17,"WALTERS, EDDISON T",AL,,7.0,7.0,,DEM,2010.0,0.522854019,17.1,REP,1.0,0.0,0.6580600000000001,1.0,0.41,True,31047.0,500.0,,78.9,1739832.56,1703658.3,4.0,,,,
18,18,"GREGORY, JAMES CHRISTOPHER",AR,,1.0,1.0,,DEM,2010.0,0.38612868,13.7,DEM,1.0,0.0,0.19296,1.0,0.4,True,33862.0,5.0,,77.2,1601831.57,1584473.08,0.0,,,,
19,19,"MEEKS, DAVID MARK EMERSON",AR,,2.0,2.0,,REP,2010.0,0.447858288,25.8,DEM,0.0,0.0,0.25533,1.0,0.4,False,43685.0,4.0,,77,1855578.1,1774143.0,4.0,,,,
20,20,"LANCASTER, ROSIE FUALA'AU TAGO",AS,,0.0,1.0,,IND,2010.0,,,DEM,0.0,0.0,,0.0,,False,,500.0,,character(0),,,,,,,
21,21,"GRESSLEY, FORREST DAYL",AZ,,1.0,1.0,,REP,2010.0,0.441068198,19.2,REP,0.3942938520000001,0.0,0.29621,0.0,0.43,False,40854.0,500.0,,77.15333,1169026.19,1168286.68,0.0,,,,
22,22,"TOBIN, ANDREW (ANDY)",AZ,,1.0,1.0,,REP,2010.0,0.441068198,19.2,REP,0.3942938520000001,0.0,0.29621,1.0,0.43,False,40854.0,28.0,,77.15333,1169026.19,1168286.68,0.0,,,,
23,23,"SCHALLENBERGER, STEVEN CRAIG",AZ,,2.0,2.0,,DEM,2010.0,0.439814685,21.9,REP,0.371604891,0.0,0.13960999999999998,1.0,0.43,True,47963.0,19.0,,77.5,21020.76,21020.76,0.0,,,,
24,24,"BAKER, SCOTT",AZ,,3.0,3.0,,REP,2010.0,0.445441423,33.9,REP,0.54077431,0.0,0.1439,1.0,0.43,False,52327.0,17.0,,76.5,2653070.2,2645463.16,4.0,,,,
25,25,"CHARLES, ROBERT LINCOLN",AZ,,3.0,3.0,,REP,2010.0,0.445441423,33.9,REP,0.54077431,0.0,0.1439,1.0,0.43,False,52327.0,7.0,,76.5,2653070.2,2645463.16,4.0,,,,
26,26,"SCOTT, BRIAN ALAN",AZ,,3.0,3.0,,IND,2010.0,0.445441423,33.9,REP,0.0,0.0,0.1439,1.0,0.43,False,52327.0,8.0,,76.5,,,4.0,,,,
27,27,"HILL, BRIAN",AZ,,4.0,4.0,,IND,2010.0,0.445441423,13.6,REP,0.0,0.0,0.31865,1.0,0.43,False,31498.0,8.0,,77.19474,,,1.0,,,,
28,28,"HILL, JONATHON RYAN",AZ,,5.0,5.0,,REP,2010.0,0.445441423,43.6,REP,0.435735559,0.0,0.16605,1.0,0.43,False,55876.0,500.0,,77.49048,1732731.48,1721363.62,0.0,,,,
29,29,"WNUCK, ERIC",AZ,,5.0,5.0,,REP,2010.0,0.445441423,43.6,REP,0.435735559,0.0,0.16605,1.0,0.43,False,55876.0,14.0,,77.49048,1732731.48,1721363.62,0.0,,,,
30,30,"BERGREN, SCOTT",AZ,,6.0,6.0,,REP,2010.0,0.443988399,28.5,REP,0.6241681029999999,0.0,0.18269,1.0,0.43,False,56691.0,17.0,,78.7,538758.2,774230.95,0.0,,,,
31,31,"KELSEY, EASTON CLINT",AZ,,6.0,6.0,,REP,2010.0,0.443988399,28.5,REP,0.6241681029999999,0.0,0.18269,1.0,0.43,False,56691.0,500.0,,78.7,538758.2,774230.95,0.0,,,,
32,32,"MEYER, HARLEY DEAN",AZ,,7.0,7.0,,IND,2010.0,0.463122196,15.3,REP,0.0,0.0,0.26589,1.0,0.43,False,39777.0,500.0,,76.1,,,1.0,,,,
33,33,"CARLSON, THOMAS A JR",AZ,,8.0,8.0,,REP,2010.0,0.502409117,34.1,REP,0.42816801,0.0,0.14227,1.0,0.43,False,49825.0,20.0,,77.7,1692503.57,1653552.57,0.0,,,,
34,34,"DAVIS, GARY",CA,,3.0,3.0,,DEM,2010.0,0.595003484,29.0,REP,0.439333728,0.0,0.30802,1.0,0.56,True,61853.0,47.0,8.5,77.4,2942764.14,2935828.38,0.0,,,,
35,35,"DURSTON, BILL",CA,,3.0,3.0,,DEM,2010.0,0.595003484,29.0,REP,0.439333728,0.0,0.30802,1.0,0.56,True,61853.0,9.0,,77.4,2942764.14,2935828.38,0.0,,,,
36,36,"FAVIS, STEVE DONALD",CA,,3.0,3.0,,IND,2010.0,0.595003484,29.0,REP,0.0,0.0,0.30802,1.0,0.56,False,61853.0,159.0,,77.4,,,0.0,,,,
37,37,"SLATON, BILL",CA,,3.0,3.0,,DEM,2010.0,0.595003484,29.0,REP,0.439333728,0.0,0.30802,1.0,0.56,True,61853.0,9.0,,77.4,2942764.14,2935828.38,0.0,,,,
38,38,"BROWN, CHARLES",CA,,4.0,4.0,,DEM,2010.0,0.534013145,29.6,REP,0.49756612,0.0,0.14928,1.0,0.56,True,60629.0,23.0,100.0,78.3,32176.0,24671.68,0.0,,,,
39,39,"ROMANOWSKY, PETER CHRISTIAN",CA,,6.0,6.0,,REP,2010.0,0.768707659,40.5,REP,0.240580968,0.0,0.17882,1.0,0.56,False,64391.0,55.0,,77.2,151842.86,151842.86,4.0,,,,
40,40,"ATTWOOD, TIFFANY",CA,,10.0,10.0,,DEM,2010.0,0.695085222,39.4,REP,0.651249301,0.0,0.3534,0.0,0.56,True,75457.0,42.0,,76.9,1764504.06,1714971.13,4.0,,,,
41,41,"BUCHANAN, JOAN",CA,,10.0,10.0,,DEM,2010.0,0.695085222,39.4,REP,0.651249301,0.0,0.3534,0.0,0.56,True,75457.0,500.0,,76.9,1764504.06,1714971.13,4.0,,,,
42,42,"BUNCH, CHRISTOPHER N",CA,,10.0,10.0,,REP,2010.0,0.695085222,39.4,REP,0.311273356,0.0,0.3534,1.0,0.56,False,75457.0,2.0,,76.9,36670.0,36669.0,4.0,,,,
43,43,"DESAULNIER, MARK",CA,,10.0,10.0,,DEM,2010.0,0.695085222,39.4,REP,0.651249301,0.0,0.3534,1.0,0.56,True,75457.0,18.0,,76.9,1764504.06,1714971.13,4.0,,,,
44,44,"HAMPTON, ADRIEL",CA,,10.0,10.0,,DEM,2010.0,0.695085222,39.4,REP,0.651249301,0.0,0.3534,1.0,0.56,True,75457.0,500.0,,76.9,1764504.06,1714971.13,4.0,,,,
45,45,"LOOS, MARK ALAN",CA,,10.0,10.0,,REP,2010.0,0.695085222,39.4,REP,0.311273356,0.0,0.3534,1.0,0.56,False,75457.0,18.0,,76.9,36670.0,36669.0,4.0,,,,
46,46,"MCILROY, MARY",CA,,10.0,10.0,,PAF,2010.0,0.695085222,39.4,REP,0.0,0.0,0.3534,0.0,0.56,False,75457.0,15.0,,76.9,,,4.0,,,,
47,47,"PETERSON, DAVID",CA,,10.0,10.0,,REP,2010.0,0.695085222,39.4,REP,0.311273356,0.0,0.3534,1.0,0.56,False,75457.0,4.0,,76.9,36670.0,36669.0,4.0,,,,
48,48,"TOTH, JOHN RICHARD",CA,,10.0,10.0,,REP,2010.0,0.695085222,39.4,REP,0.311273356,0.0,0.3534,1.0,0.56,False,75457.0,6.0,,76.9,36670.0,36669.0,4.0,,,,
49,49,"VANGUNDY, GINO W",CA,,10.0,10.0,,IND,2010.0,0.695085222,39.4,REP,0.0,0.0,0.3534,1.0,0.56,False,75457.0,500.0,,76.9,,,4.0,,,,
50,50,"WOODS, ANTHONY MR",CA,,10.0,10.0,,DEM,2010.0,0.695085222,39.4,REP,0.651249301,0.0,0.3534,1.0,0.56,True,75457.0,22.0,,76.9,1764504.06,1714971.13,4.0,,,,
51,51,"BEADLES, ROBERT",CA,,11.0,11.0,,REP,2010.0,0.715546516,32.2,REP,0.44723402,0.0,0.32001,1.0,0.56,False,72075.0,7.0,,76.3,2931475.07,2858560.6,4.0,,,,
52,52,"DEL ARROZ, JONATHAN MR.",CA,,11.0,11.0,,REP,2010.0,0.715546516,32.2,REP,0.44723402,0.0,0.32001,1.0,0.56,False,72075.0,500.0,,76.3,2931475.07,2858560.6,4.0,,,,
53,53,"PEGRAM, LARRY",CA,,11.0,11.0,,REP,2010.0,0.715546516,32.2,REP,0.44723402,0.0,0.32001,1.0,0.56,False,72075.0,58.0,,76.3,2931475.07,2858560.6,4.0,,,,
54,54,"TAKADA, JEFFREY DAVID",CA,,11.0,11.0,,REP,2010.0,0.715546516,32.2,REP,0.44723402,0.0,0.32001,1.0,0.56,False,72075.0,15.0,,76.3,2931475.07,2858560.6,4.0,,,,
55,55,"GORDON, KEVIN PATRICK",CA,,15.0,15.0,,REP,2010.0,0.7088871720000001,46.6,REP,0.232571493,0.0,0.52886,1.0,0.56,False,85700.0,13.0,,77.8,66867.0,66867.0,0.0,,,,
56,56,"SIMITIAN, S. JOSEPH",CA,,15.0,15.0,,DEM,2010.0,0.7088871720000001,46.6,REP,0.716617279,0.0,0.52886,1.0,0.56,True,85700.0,500.0,,77.8,773920.65,850364.24,0.0,,,,
57,57,"HOWELL, ROBERT PAUL",CA,,16.0,16.0,,REP,2010.0,0.7088871720000001,32.1,REP,0.0,0.0,0.52509,1.0,0.56,False,73973.0,7.0,,76.6,,,0.0,,,,
58,58,"CHANDLER, WILLIAM THARON",CA,,17.0,17.0,,IND,2010.0,0.741661681,26.3,REP,0.0,0.0,0.22151,1.0,0.56,False,55026.0,9.0,,76.9,,,0.0,,,,
59,59,"ESTRADA, JOHN ANTHONY",CA,,19.0,19.0,,DEM,2010.0,0.489362431,21.6,REP,0.0,0.0,0.20874,1.0,0.56,True,51553.0,6.0,,78,44517.0,46862.0,4.0,,,,
60,60,"MILLER, JOSHUA THOMAS COULSTON",CA,,20.0,20.0,,REP,2010.0,0.451172356,7.4,REP,0.256654494,0.0,0.3971,1.0,0.56,False,33089.0,24.0,85.04,77.62667,897504.22,891825.76,4.0,,,,
61,61,"AGUIAR, LANCE",CA,,24.0,24.0,,UNK,2010.0,0.5817609020000001,34.3,REP,0.0,0.0,0.24252,1.0,0.56,False,74103.0,129.0,,75.37143,,,4.0,,,,
62,62,"JORGENSEN, MARTA ANN",CA,,24.0,24.0,,DEM,2010.0,0.5817609020000001,34.3,REP,0.4184608,0.0,0.24252,0.0,0.56,True,74103.0,500.0,,75.37143,183711.03,180025.88,4.0,,,,
63,63,"KALEMKARIAN, TIMOTHY CHARLES",CA,,24.0,24.0,,REP,2010.0,0.5817609020000001,34.3,REP,0.5815392,0.0,0.24252,1.0,0.56,False,74103.0,21.0,0.84,75.37143,783256.55,811193.84,4.0,,,,
64,64,"MARTINEZ, JILL MARIE",CA,,24.0,24.0,,DEM,2010.0,0.5817609020000001,34.3,REP,0.4184608,0.0,0.24252,0.0,0.56,True,74103.0,54.0,,75.37143,183711.03,180025.88,4.0,,,,
65,65,"BROWN, ROBERT",CA,,26.0,26.0,,NNE,2010.0,0.676560512,36.7,REP,0.0,0.0,0.39337,1.0,0.56,False,75086.0,7.0,100.0,75.2,,,4.0,,,,
66,66,"DARIAN, BRUCE HARRY",CA,,27.0,27.0,,FED,2010.0,0.701108324,29.6,REP,0.0,0.0,0.37793,1.0,0.56,False,56836.0,132.0,,74.6,,,4.0,,,,
67,67,"WORMAN, JENNY",CA,,28.0,28.0,,REP,2010.0,0.701108324,27.5,REP,0.0,0.0,0.39713,0.0,0.56,False,50607.0,132.0,,74.6,39635.54,39508.86,4.0,,,,
68,68,"LARGE, MORTON R",CA,,29.0,29.0,,REP,2010.0,0.701108324,38.5,REP,0.267398559,0.0,0.4284,1.0,0.56,False,57700.0,500.0,,73.4,675595.25,671227.53,4.0,,,,
69,69,"PORTANTINO, ANTHONY",CA,,29.0,29.0,,DEM,2010.0,0.701108324,38.5,REP,0.689145109,0.0,0.4284,1.0,0.56,True,57700.0,22.0,,73.4,1378951.49,1222795.04,4.0,,,,
70,70,"AGRELLA, CHRISTOPHER",CA,,32.0,32.0,,LIB,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,2.0,,75.8,,,0.0,,,,
71,71,"ALONSO, FRANCISCO",CA,,32.0,32.0,,DEM,2010.0,0.701108324,17.0,REP,0.999938532,0.0,0.59262,1.0,0.56,True,49529.0,173.0,,75.8,2502170.51,1860356.68,0.0,,,,
72,72,"ARIF, MOHAMMAD",CA,,32.0,32.0,,PAF,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,500.0,,75.8,,,0.0,,,,
73,73,"BLAKE, M. WAYNE",CA,,32.0,32.0,,REP,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,500.0,,75.8,0.0,0.0,0.0,,,,
74,74,"CEDILLO, GILBERT",CA,,32.0,32.0,,DEM,2010.0,0.701108324,17.0,REP,0.999938532,0.0,0.59262,1.0,0.56,True,49529.0,500.0,,75.8,2502170.51,1860356.68,0.0,,,,
75,75,"CHU, BETTY",CA,,32.0,32.0,,REP,2010.0,0.701108324,17.0,REP,0.0,1.0,0.59262,0.0,0.56,False,49529.0,500.0,100.0,75.8,0.0,0.0,0.0,,,,
76,76,"DURAN, BENITA",CA,,32.0,32.0,,DEM,2010.0,0.701108324,17.0,REP,0.999938532,0.0,0.59262,0.0,0.56,True,49529.0,500.0,,75.8,2502170.51,1860356.68,0.0,,,,
77,77,"ESTRADA, ANDRES",CA,,32.0,32.0,,DEM,2010.0,0.701108324,17.0,REP,0.999938532,0.0,0.59262,1.0,0.56,True,49529.0,500.0,,75.8,2502170.51,1860356.68,0.0,,,,
78,78,"HERNANDEZ, TERESA",CA,,32.0,32.0,,REP,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,0.0,0.56,False,49529.0,52.0,,75.8,0.0,0.0,0.0,,,,
79,79,"JOHNSON, HOWARD ESQ",CA,,32.0,32.0,,PAF,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,188.0,,75.8,,,0.0,,,,
80,80,"LYSENKO, STEFAN (CONTRERAS)",CA,,32.0,32.0,,DEM,2010.0,0.701108324,17.0,REP,0.999938532,0.0,0.59262,1.0,0.56,True,49529.0,500.0,,75.8,2502170.51,1860356.68,0.0,,,,
81,81,"MORRISON, WILLIAM (RODRIGUEZ)",CA,,32.0,32.0,,REP,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,9.0,,75.8,0.0,0.0,0.0,,,,
82,82,"NADAL, RAFAEL F.",CA,,32.0,32.0,,DEM,2010.0,0.701108324,17.0,REP,0.999938532,0.0,0.59262,1.0,0.56,True,49529.0,500.0,,75.8,2502170.51,1860356.68,0.0,,,,
83,83,"PLEITZ, EMANUEL",CA,,32.0,32.0,,DEM,2010.0,0.701108324,17.0,REP,0.999938532,0.0,0.59262,1.0,0.56,True,49529.0,500.0,,75.8,2502170.51,1860356.68,0.0,,,,
84,84,"RATHBUN, TERRENCE (TERRY)",CA,,32.0,32.0,,REP,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,195.0,,75.8,0.0,0.0,0.0,,,,
85,85,"ROMERO, GLORIA",CA,,32.0,32.0,,,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,0.0,0.56,False,49529.0,190.0,,75.8,,,0.0,,,,
86,86,"SANTANA, SALVADOR",CA,,32.0,32.0,,REP,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,500.0,47.02,75.8,0.0,0.0,0.0,,,,
87,87,"SCARBOROUGH, LARRY DEAN",CA,,32.0,32.0,,REP,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,58.0,,75.8,0.0,0.0,0.0,,,,
88,88,"TRUAX, DAVID ALLEN",CA,,32.0,32.0,,REP,2010.0,0.701108324,17.0,REP,0.0,0.0,0.59262,1.0,0.56,False,49529.0,4.0,,75.8,0.0,0.0,0.0,,,,
89,89,"WONG, MARGARITA MARIE",CA,,32.0,32.0,,DEM,2010.0,0.701108324,17.0,REP,0.999938532,0.0,0.59262,0.0,0.56,True,49529.0,500.0,,75.8,2502170.51,1860356.68,0.0,,,,
90,90,"DEGROOT, BENJAMIN",CA,,33.0,33.0,,IND,2010.0,0.701108324,33.1,REP,0.0,0.0,0.65563,1.0,0.56,False,41538.0,44.0,,74,,,4.0,,,,
91,91,"EVANS, MERVIN LEON",CA,,33.0,33.0,,DEM,2010.0,0.701108324,33.1,REP,0.8756863109999999,0.0,0.65563,1.0,0.56,True,41538.0,500.0,,74,932281.19,768918.65,4.0,,,,
92,92,"MANDEL, HOWARD C",CA,,33.0,33.0,,DEM,2010.0,0.701108324,33.1,REP,0.8756863109999999,0.0,0.65563,1.0,0.56,True,41538.0,188.0,,74,932281.19,768918.65,4.0,,,,
93,93,"POUESI, JUNE",CA,,37.0,37.0,,REP,2010.0,0.701108324,19.2,REP,0.0,0.0,0.53483,0.0,0.56,False,46950.0,500.0,,75.2,1851459.03,1826846.04,0.0,,,,
94,94,"TURNER, TRACY LYNN",CA,,38.0,38.0,,IND,2010.0,0.701108324,15.0,REP,0.0,0.0,0.46279,0.0,0.56,False,51381.0,24.0,,74.6,,,0.0,,,,
95,95,"ANDION, JAMES L.",CA,,39.0,39.0,,REP,2010.0,0.701108324,16.9,REP,0.30326100300000003,0.0,0.56701,1.0,0.56,False,53439.0,5.0,51.29,74.6,53710.99,50565.17,0.0,,,,
96,96,"LURIE, BARAK",CA,,46.0,46.0,,REP,2010.0,0.646808608,40.5,REP,0.525166768,0.0,0.3426,1.0,0.56,False,71332.0,500.0,,75.72857,404285.0,382318.61,1.0,,,,
97,97,"PHAM, QUANG X",CA,,47.0,47.0,,REP,2010.0,0.480547263,13.5,REP,0.254337131,0.0,0.58307,1.0,0.56,False,51647.0,500.0,,76.1,1404741.42,1395563.47,4.0,,,,
98,98,"SCHANK, GARY 'JET'",CA,,47.0,47.0,,IND,2010.0,0.480547263,13.5,REP,0.0,0.0,0.58307,1.0,0.56,False,51647.0,47.0,,76.1,,,4.0,,,,
99,99,"ROBERTS, DAVID W",CA,,50.0,50.0,,DEM,2010.0,0.5478353,45.4,REP,0.4517834020000001,0.0,0.23574,1.0,0.56,True,70362.0,4.0,100.0,77.1,610606.49,577138.56,4.0,,,,
100,100,"MCLEROY, WILLIAM DAVID",CA,,51.0,51.0,,REP,2010.0,0.5498341760000001,18.2,REP,0.242094934,0.0,0.40967,1.0,0.56,False,50316.0,9.0,,76.6,366748.87,361013.42,4.0,,,,
101,101,"ARRINGTON, RANDALL STEVEN PHD",CA,,53.0,53.0,,REP,2010.0,0.5478353,39.1,REP,0.274507307,0.0,0.30935,1.0,0.56,False,48679.0,122.0,,77.26667,144824.35,140519.48,0.0,,,,
102,102,"FINK, MARI HAMLIN",CA,,53.0,53.0,,REP,2010.0,0.5478353,39.1,REP,0.274507307,0.0,0.30935,1.0,0.56,False,48679.0,500.0,21.56,77.26667,144824.35,140519.48,0.0,,,,
103,103,"MERRIMAN, CHARLES MILLER II",CA,,53.0,53.0,,REP,2010.0,0.5478353,39.1,REP,0.274507307,0.0,0.30935,1.0,0.56,False,48679.0,23.0,,77.26667,144824.35,140519.48,0.0,,,,
104,104,"COTTON, STANLEY S",CA,,,,,DEM,2010.0,,,REP,0.0,0.0,,1.0,0.56,True,,186.0,,79.8,,,,,,,
105,105,"BARTON, STEVEN DR",CO,,1.0,1.0,,REP,2010.0,0.617640259,39.7,DEM,0.237762534,0.0,0.29144000000000003,1.0,0.49,False,44859.0,19.0,,74.2,196993.0,196993.0,0.0,,,,
106,106,"STANDLEY, KELLY D",CO,,1.0,1.0,,REP,2010.0,0.617640259,39.7,DEM,0.237762534,0.0,0.29144000000000003,0.0,0.49,False,44859.0,14.0,,74.2,196993.0,196993.0,0.0,,,,
107,107,"HAMMONS, WILLIAM ROBERT",CO,,2.0,2.0,,OTH,2010.0,0.586356789,41.7,DEM,0.0,0.0,0.13685999999999998,1.0,0.49,False,62146.0,9.0,,75.07368,,,0.0,,,,
108,108,"POLKE, KENNETH JEFFREY DR",CO,,2.0,2.0,,REP,2010.0,0.586356789,41.7,DEM,0.338587455,0.0,0.13685999999999998,1.0,0.49,False,62146.0,31.0,,75.07368,130885.78,130747.13,0.0,,,,
109,109,"BEESON, MARTIN C",CO,,3.0,3.0,,REP,2010.0,0.484451744,26.7,DEM,0.383872521,0.0,0.12919,1.0,0.49,False,44906.0,115.0,,75.69048,1232112.91,1207831.54,4.0,,,,
110,110,"THOMPSON, DOUGLAS BOMAR",CO,,3.0,3.0,,REP,2010.0,0.484451744,26.7,DEM,0.383872521,0.0,0.12919,1.0,0.49,False,44906.0,50.0,,75.69048,1232112.91,1207831.54,4.0,,,,
111,111,"BOWMAN, JASSEN",CO,,4.0,4.0,,LIB,2010.0,0.565821216,32.0,DEM,0.0,0.0,0.1037,1.0,0.49,False,50167.0,500.0,,76.1,,,0.0,,,,
112,112,"BROWN, DIGGS",CO,,4.0,4.0,,REP,2010.0,0.565821216,32.0,DEM,0.438031304,0.0,0.1037,1.0,0.49,False,50167.0,500.0,,76.1,2426591.08,2407602.45,0.0,,,,
113,113,"FAHLANEIGH, ROCHE",CO,,4.0,4.0,,UNK,2010.0,0.565821216,32.0,DEM,0.0,0.0,0.1037,1.0,0.49,False,50167.0,500.0,,76.1,,,0.0,,,,
114,114,"LUCERO, THOMAS JOSEPH",CO,,4.0,4.0,,REP,2010.0,0.565821216,32.0,DEM,0.438031304,0.0,0.1037,1.0,0.49,False,50167.0,20.0,,76.1,2426591.08,2407602.45,0.0,,,,
115,115,"MADERE, DEAN MATTHEW",CO,,4.0,4.0,,REP,2010.0,0.565821216,32.0,DEM,0.438031304,0.0,0.1037,1.0,0.49,False,50167.0,177.0,,76.1,2426591.08,2407602.45,0.0,,,,
116,116,"NELSON, MICHAEL",CO,,4.0,4.0,,OTH,2010.0,0.565821216,32.0,DEM,0.0,0.0,0.1037,1.0,0.49,False,50167.0,1.0,,76.1,,,0.0,,,,
117,117,"CANTER, DAVID",CO,,6.0,6.0,,DEM,2010.0,0.51998606,48.8,DEM,0.393310569,0.0,0.11075,1.0,0.49,True,82062.0,4.0,,76,152156.72,151280.23,0.0,,,,
118,118,"CAMPBELL, BRIAN T SR",CO,,7.0,7.0,,REP,2010.0,0.561213788,27.5,DEM,0.365179529,0.0,0.23678,1.0,0.49,False,50360.0,8.0,,77.1,1775458.06,1771942.8,4.0,,,,
119,119,"DEMING, MICHAEL",CO,,7.0,7.0,,REP,2010.0,0.561213788,27.5,DEM,0.365179529,0.0,0.23678,1.0,0.49,False,50360.0,1.0,,77.1,1775458.06,1771942.8,4.0,,,,
120,120,"LAKEY, JIMMY",CO,,7.0,7.0,,REP,2010.0,0.561213788,27.5,DEM,0.365179529,0.0,0.23678,1.0,0.49,False,50360.0,100.0,,77.1,1775458.06,1771942.8,4.0,,,,
